iterations,reward_performance
2,0.005352393898007451
5,0.013042032114860568
39,0.09794972811698452
50,0.022558310541762393
63,0.03643610264385538
68,0.01650588686265843
76,0.013646851879565047
80,0.01266591526159387
86,0.01692600416736479
87,0.004632974087462954
95,0.019807660851480828
104,0.021737714551918794
114,0.02717338614050413
120,0.0201241160756768
128,0.021425733949903124
135,0.016660509918000062
140,0.013872074529307036
145,0.014685461405637925
149,0.009272162927954108
160,0.030930328641111934
164,0.012140147155408103
166,0.005971383299616226
171,0.01272880856223926
184,0.025445436208543247
188,0.010897196549767991
200,0.0433593375172708
210,0.02948776016820602
215,0.01188409933064624
221,0.02043584808757134
222,0.0023273007140005458
230,0.02627348990202069
239,0.02118112127071315
243,0.01161512481958572
245,0.00795687259706574
250,0.01188409933064624
254,0.010897196549767991
263,0.02255880772200465
269,0.018192570834512065
273,0.015229873770908293
280,0.01752908380122137
282,0.007469387369533689
289,0.019710710704240898
297,0.02197188644602139
305,0.01990287086787286
310,0.01188409933064624
316,0.01728571407263704
317,0.003746253125399298
319,0.005244008605195633
322,0.013575257924680176
329,0.0221538544146871
332,0.009489679283941128
335,0.009655240304612392
346,0.021904767113316823
351,0.013898673672267733
360,0.02633016844963788
373,0.03593544213990354
384,0.031699715066003165
394,0.0240948460804547
404,0.025001702842329727
413,0.02118112127071315
415,0.007469387369533689
426,0.01808294259109461
429,0.013575257924680176
431,0.007469387369533689
434,0.005879653544919986
440,0.017918375930907855
442,0.005310382167536815
451,0.029192932284548185
460,0.023586479282747895
464,0.012140147155408103
465,0.0026009984373624984
471,0.01721511447823668
472,0.0026009984373624984
481,0.025070810896003316
483,0.005171668879947379
491,0.026132042123098845
499,0.01990287086787286
507,0.02197188644602139
512,0.011981298068007297
522,0.025374339433900633
529,0.015502328543664606
533,0.011121922019267724
538,0.011981298068007297
542,0.013877294921850724
546,0.011121922019267724
557,0.02249467147075362
565,0.021224873132031682
572,0.02061408720442013
576,0.009272162927954108
587,0.028245306742808163
597,0.031988576786753924
602,0.01272880856223926
609,0.01876010208104734
617,0.021425733949903124
626,0.026573538178222212
635,0.02305797668522972
641,0.014759789851855203
643,0.005244008605195633
651,0.026132042123098845
655,0.008522166532510865
660,0.014173614346235326
666,0.015460068223072842
670,0.01406895790524043
675,0.013898673672267733
686,0.031699715066003165
696,0.023072394912255146
706,0.028837448411335113
718,0.03597795105061643
727,0.02118112127071315
736,0.025070810896003316
738,0.007469387369533689
741,0.009489679283941128
747,0.01728571407263704
756,0.02574051268232221
764,0.02328394510533509
765,0.0026009984373624984
768,0.011063503340802638
775,0.01752908380122137
784,0.0250076690052368
786,0.00624756692418946
788,0.005310382167536815
795,0.019927481289864532
801,0.019520042081335703
806,0.015029261543157979
811,0.01188409933064624
815,0.008522166532510865
826,0.029748531205269314
829,0.011399348594446596
834,0.01188409933064624
844,0.02579047929666894
849,0.01272880856223926
850,0.0011139323327746685
853,0.0075979084621568774
863,0.028837448411335113
867,0.013841995124650544
872,0.011719035490217232
876,0.009272162927954108
886,0.028837448411335113
889,0.004166867610347911
898,0.024681270176195706
903,0.01650588686265843
908,0.015569945056611429
910,0.0045402499722822015
911,0.0023148712079441446
913,0.003125275002821498
922,0.023509664935319335
933,0.03438026234212663
941,0.01990287086787286
949,0.01990287086787286
956,0.014270813083596384
957,0.0023148712079441446
